Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
52.7,585000,665040,45,81,70406,133216,0.995917
52.8,585000,665040,43,81,72396,133216,0.995917
52.9,585000,659920,45,83,72396,133216,0.996391
53,585000,665040,47,83,72997,133216,0.995917
53.1,600000,643520,50,85,75893,133216,0.998777
53.2,615000,638400,43,83,72997,133216,0.999652
53.3,555000,691680,48,79,73895,133216,0.988123
53.4,630000,611760,48,85,73895,133216,0.999784
53.5,585000,670160,49,81,73895,133216,0.995418
53.6,615000,626760,49,84,73895,133216,0.99991
53.7,600000,655160,46,83,73895,133216,0.998072
53.8,585000,654800,49,83,73895,133216,0.99684
53.9,630000,622000,48,85,73895,133216,0.999959
54,585000,659920,49,83,76791,133216,0.996391
