Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
17.9,690000.0,0.0,46400.0,510000.0,206.0,161.0,113.0,128.0,78611.0,1448.0,5792.0,105294.0,0.526006
18.0,705000.0,15000.0,0.0,525000.0,208.0,162.0,121.0,125.0,80059.0,2896.0,10136.0,105294.0,0.501383
18.1,645000.0,30000.0,92800.0,480000.0,208.0,160.0,119.0,132.0,81507.0,2896.0,14480.0,106742.0,0.593428
18.2,690000.0,0.0,0.0,555000.0,211.0,164.0,127.0,125.0,82955.0,5792.0,20272.0,106742.0,0.494189
18.3,585000.0,60000.0,210000.0,390000.0,210.0,168.0,133.0,134.0,82955.0,11584.0,34752.0,108190.0,0.7149230000000001
18.4,570000.0,120000.0,0.0,570000.0,217.0,160.0,141.0,124.0,84403.0,11584.0,40544.0,108190.0,0.597561
18.5,540000.0,0.0,420000.0,285000.0,212.0,170.0,133.0,144.0,85851.0,14480.0,55024.0,109638.0,0.7055510000000002
18.6,540000.0,136400.0,0.0,570000.0,216.0,173.0,169.0,126.0,85851.0,27512.0,81088.0,109638.0,0.611518
18.7,435000.0,0.0,405000.0,405000.0,218.0,185.0,154.0,139.0,87299.0,36200.0,89776.0,109638.0,0.74913
18.8,405000.0,360000.0,210000.0,270000.0,228.0,177.0,186.0,143.0,87215.0,47784.0,89776.0,110646.0,0.943699
18.9,405000.0,0.0,255000.0,600000.0,218.0,209.0,169.0,115.0,87215.0,70952.0,89776.0,110646.0,0.673797
19.0,232400.0,300000.0,435000.0,270000.0,210.0,189.0,169.0,97.0,87215.0,70952.0,91863.0,110646.0,0.942519
19.1,267840.0,270000.0,534520.0,185240.0,194.0,209.0,150.0,154.0,87215.0,60816.0,91863.0,110646.0,0.850915
19.2,0.0,510000.0,134800.0,557600.0,194.0,217.0,140.0,116.0,87215.0,59368.0,91863.0,110646.0,0.613456
19.3,0.0,615000.0,0.0,629680.0,194.0,214.0,140.0,145.0,87215.0,70804.0,91863.0,110236.0,0.49993
19.4,0.0,540000.0,0.0,705840.0,194.0,221.0,140.0,135.0,87215.0,72252.0,91863.0,110236.0,0.49129400000000006
19.5,0.0,600000.0,0.0,645000.0,194.0,226.0,140.0,130.0,87215.0,73700.0,91863.0,110236.0,0.49934800000000007
19.6,0.0,645000.0,0.0,600000.0,194.0,220.0,140.0,135.0,87215.0,75148.0,91863.0,111684.0,0.49934800000000007
19.7,0.0,585000.0,0.0,675000.0,194.0,224.0,140.0,131.0,87215.0,76596.0,91863.0,113132.0,0.497462
19.8,0.0,615000.0,0.0,630000.0,194.0,228.0,140.0,131.0,87215.0,78044.0,91863.0,113132.0,0.499927
19.9,0.0,660000.0,0.0,585000.0,195.0,222.0,140.0,135.0,1448.0,78044.0,91863.0,114580.0,0.498192
